,USD,"FY, 2019","FY, 2020","FY, 2021"
0,Net Income,21.0b,20.9b,19.9b
1,Depreciation and Amortization,10.8b,12.2b,11.8b
2,Accounts Receivable,(935.0m),883.0m,(2.7b)
3,Inventories,(1.5b),(687.0m),(2.3b)
4,Accounts Payable,696.0m,412.0m,1.2b
5,Cash From Operating Activities,33.1b,35.4b,30.0b
6,Purchases of PP&E,(16.2b),(14.3b),(18.7b)
7,Cash From Investing Activities,(14.4b),(20.8b),(25.2b)
8,Long-term Borrowings,(2.6b),(4.5b),(2.5b)
9,Dividends Paid,(5.6b),(5.6b),(5.6b)
10,Cash From Financing Activities,(17.6b),(12.9b),(5.9b)
11,Net Change in Cash,1.2b,1.7b,(1.0b)
12,Interest Paid,469.0m,594.0m,545.0m
13,Income Taxes Paid,2.1b,2.4b,2.3b
